,series,Series,YR2017,YR2018,YR2019,YR2020,YR2021
0,NE.EXP.GNFS.CD,Exports of goods and services (current US$),20463794483.3927,22514904281.0721,25592134166.4431,14513683721.429,23206601900.9723
1,NE.IMP.GNFS.CD,Imports of goods and services (current US$),22151920744.742,23220689725.8631,26908043834.0936,12464758653.9664,22131745924.8669
