Classification Name;Country Name;Data;SUM([Data])/1000;SUM([Data])/1000
China;Mongolia;1982927796;1982927,796;1982927,796
China;Pakistan;1691090617,4;1691090,6174;1691090,6174
China;Kenya;888710166;888710,166;888710,166
China;Angola;805120160,7;805120,1607;805120,1607
Japan;Pakistan;611665623,5;611665,6235;611665,6235
China;Lao PDR;543638443,7;543638,4437;543638,4437
China;Ethiopia;518932372,3;518932,3723;518932,3723
China;Zambia;438323941,1;438323,9411;438323,9411
Germany, Fed.Rep. Of;Pakistan;437981412,7;437981,4127;437981,4127
China;Cameroon;433516744,7;433516,7447;433516,7447
China;Bangladesh;392510692,2;392510,6922;392510,6922
China;Cambodia;358954977,3;358954,9773;358954,9773
France;Cote d'Ivoire;354069855,2;354069,8552;354069,8552
China;Nigeria;288594897,7;288594,8977;288594,8977
China;Uganda;263134410,5;263134,4105;263134,4105
France;Pakistan;262571498,4;262571,4984;262571,4984
China;Mozambique;238702357,9;238702,3579;238702,3579
Saudi Arabia;Pakistan;227850428;227850,428;227850,428
Japan;Bangladesh;222177421,6;222177,4216;222177,4216
India;Bhutan;204605116,1;204605,1161;204605,1161
China;Uzbekistan;203625427,5;203625,4275;203625,4275
China;Tanzania;187618732,3;187618,7323;187618,7323
China;Congo, Rep.;172307165,5;172307,1655;172307,1655
China;Ghana;172109490,3;172109,4903;172109,4903
United States;Pakistan;170610022,8;170610,0228;170610,0228
China;Djibouti;162594510,2;162594,5102;162594,5102
China;Congo, Dem. Rep.;145960011,4;145960,0114;145960,0114
China;Guinea;138008877,8;138008,8778;138008,8778
Saudi Arabia;Yemen, Rep.;132166595,8;132166,5958;132166,5958
Multiple Lenders;Bangladesh;131749500;131749,5;131749,5
China;Cote d'Ivoire;130270189,4;130270,1894;130270,1894
Japan;Uzbekistan;127437990,7;127437,9907;127437,9907
Venezuela, Republic Bolivarian;Haiti;126973220,1;126973,2201;126973,2201
China;Tajikistan;126734561,4;126734,5614;126734,5614
China;Kyrgyz Republic;124246991,9;124246,9919;124246,9919
China;Myanmar;122059014,4;122059,0144;122059,0144
France;Cameroon;118522903,4;118522,9034;118522,9034
Saudi Arabia;Mauritania;115199347,9;115199,3479;115199,3479
Russian Federation;Cambodia;114444000;114444;114444
Germany, Fed.Rep. Of;Myanmar;109091970,4;109091,9704;109091,9704
China;Maldives;108906405,8;108906,4058;108906,4058
France;Senegal;101303800,1;101303,8001;101303,8001
China;Senegal;99500920,5;99500,9205;99500,9205
Korea, Republic Of;Pakistan;97433881,6;97433,8816;97433,8816
France;Kenya;97024526,2;97024,5262;97024,5262
China;Papua New Guinea;96881429;96881,429;96881,429
Japan;Myanmar;93212060,3;93212,0603;93212,0603
France;Myanmar;90626071,7;90626,0717;90626,0717
Russian Federation;Bangladesh;89098000;89098;89098
Japan;Angola;88980561,4;88980,5614;88980,5614
India;Bangladesh;85509767,8;85509,7678;85509,7678
Russian Federation;Yemen, Rep.;81832481,5;81832,4815;81832,4815
Japan;Kenya;73681601;73681,601;73681,601
United States;Kenya;70505857,1;70505,8571;70505,8571
India;Ghana;68128882,4;68128,8824;68128,8824
China;Togo;67594628,2;67594,6282;67594,6282
China;Mali;65484017,1;65484,0171;65484,0171
Japan;Mongolia;64978028,1;64978,0281;64978,0281
Australia;Papua New Guinea;63326014,4;63326,0144;63326,0144
Russian Federation;Lao PDR;61944750;61944,75;61944,75
Russian Federation;Afghanistan;60875333,3;60875,3333;60875,3333
Thailand;Lao PDR;60446118,9;60446,1189;60446,1189
Portugal;Mozambique;55708350;55708,35;55708,35
Egypt;Ghana;52442722,2;52442,7222;52442,7222
Multiple Lenders;Congo, Dem. Rep.;51508000;51508;51508
India;Ethiopia;48435066,4;48435,0664;48435,0664
France;Nigeria;46202287,7;46202,2877;46202,2877
Japan;Tanzania;44481217,9;44481,2179;44481,2179
China;Mauritania;43535050,4;43535,0504;43535,0504
Canada;Pakistan;39695467,8;39695,4678;39695,4678
India;Tanzania;38962577,8;38962,5778;38962,5778
India;Zambia;38401580,9;38401,5809;38401,5809
Libya;Chad;38273500;38273,5;38273,5
China;Chad;38194295,7;38194,2957;38194,2957
United Kingdom;Uganda;35736814,6;35736,8146;35736,8146
China;Nepal;35697893;35697,893;35697,893
Germany, Fed.Rep. Of;Kenya;34528173,1;34528,1731;34528,1731
United States;Somalia;34222000;34222;34222
Portugal;Angola;33264583,3;33264,5833;33264,5833
India;Cote d'Ivoire;31165451;31165,451;31165,451
India;Mozambique;30655844,2;30655,8442;30655,8442
Canada;Angola;30276000;30276;30276
China;Niger;29407757,6;29407,7576;29407,7576
South Africa;Angola;28826603,9;28826,6039;28826,6039
China;Fiji;28809276,9;28809,2769;28809,2769
Sweden;Pakistan;28145564,9;28145,5649;28145,5649
India;Myanmar;27774201,3;27774,2013;27774,2013
China;Benin;26819567,1;26819,5671;26819,5671
Italy;Ethiopia;26755409,8;26755,4098;26755,4098
Japan;Cambodia;26574728,2;26574,7282;26574,7282
China;Guyana;25914543,1;25914,5431;25914,5431
Iraq;Mozambique;25789625;25789,625;25789,625
India;Nepal;25141741,8;25141,7418;25141,7418
Japan;Papua New Guinea;25129171,7;25129,1717;25129,1717
Kuwait;Mauritania;24977016,9;24977,0169;24977,0169
Russian Federation;Pakistan;24641000;24641;24641
France;Bangladesh;24548188,7;24548,1887;24548,1887
India;Senegal;23824657;23824,657;23824,657
France;Ethiopia;23788893,2;23788,8932;23788,8932
Brazil;Mozambique;23705355,5;23705,3555;23705,3555
China;Malawi;23671575,7;23671,5757;23671,5757
Austria;Myanmar;22997669,5;22997,6695;22997,6695
Russian Federation;Uzbekistan;22244563;22244,563;22244,563
China;Rwanda;22051050;22051,05;22051,05
Portugal;Cabo Verde;21998944,1;21998,9441;21998,9441
France;Mali;21924221,9;21924,2219;21924,2219
Russian Federation;Ethiopia;21633000;21633;21633
France;Guinea;21373115,9;21373,1159;21373,1159
China;Samoa;21124644,9;21124,6449;21124,6449
Russian Federation;Zambia;21066611,7;21066,6117;21066,6117
Switzerland;Pakistan;20869155;20869,155;20869,155
France;Congo, Rep.;20729174,1;20729,1741;20729,1741
Russian Federation;Mozambique;20485583,4;20485,5834;20485,5834
France;Mozambique;20035298,5;20035,2985;20035,2985
Belgium;Congo, Rep.;19817541,5;19817,5415;19817,5415
France;Ghana;19731309,3;19731,3093;19731,3093
Turkey;Congo, Rep.;18474102,9;18474,1029;18474,1029
France;Burkina Faso;18295442,9;18295,4429;18295,4429
South Africa;Zambia;18292368,4;18292,3684;18292,3684
United States;Ghana;18149488,9;18149,4889;18149,4889
India;Nigeria;17816400;17816,4;17816,4
India;Mali;17659209,8;17659,2098;17659,2098
China;Tonga;17359016,8;17359,0168;17359,0168
France;Niger;17276586,3;17276,5863;17276,5863
India;Congo, Dem. Rep.;17208072;17208,072;17208,072
France;Uganda;17143335,7;17143,3357;17143,3357
France;Cambodia;17120669,2;17120,6692;17120,6692
Turkey;Senegal;16880766;16880,766;16880,766
Brazil;Congo, Rep.;16710800;16710,8;16710,8
Korea, Republic Of;Angola;16470285,4;16470,2854;16470,2854
Turkey;Cameroon;16105222,2;16105,2222;16105,2222
China;Vanuatu;15570185,3;15570,1853;15570,1853
Kuwait;Bangladesh;15380332,6;15380,3326;15380,3326
Turkey;Ghana;15245181,8;15245,1818;15245,1818
Angola;Guinea;14685894,7;14685,8947;14685,8947
United Kingdom;Zambia;14631999,9;14631,9999;14631,9999
India;Mauritania;14446838,6;14446,8386;14446,8386
Japan;Nepal;14422991;14422,991;14422,991
Korea, Republic Of;Bangladesh;14095482,3;14095,4823;14095,4823
Japan;Kyrgyz Republic;13879725,5;13879,7255;13879,7255
Kuwait;Senegal;13856844,3;13856,8443;13856,8443
Libya;Mozambique;13771153,8;13771,1538;13771,1538
France;Mauritania;13398578,6;13398,5786;13398,5786
United States;Cameroon;12897387,2;12897,3872;12897,3872
Japan;Mozambique;12894769,4;12894,7694;12894,7694
Saudi Arabia;Bangladesh;12767265,1;12767,2651;12767,2651
Kuwait;Pakistan;12665666,8;12665,6668;12665,6668
India;Cameroon;12092771,4;12092,7714;12092,7714
Saudi Arabia;Guinea;11870636,6;11870,6366;11870,6366
Multiple Lenders;Pakistan;11641944,4;11641,9444;11641,9444
