,Unnamed: 0,Country Name,Counterpart-Area Name,Series Name,Series Code,Year,Value
43,1629,Ghana,Austria,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,982806.3
44,1630,Ghana,Austria,"GG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.GG.CD,2020,982806.3
45,1632,Ghana,Austria,"GG, commercial banks (TDS, current US$)",DT.TDS.PCBK.GG.CD,2020,21837456.8
46,1635,Ghana,Austria,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,982806.3
47,1637,Ghana,Austria,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,2020,21837456.8
48,1651,Ghana,Austria,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,2020,982806.3
49,1652,Ghana,Austria,"PPG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CD,2020,982806.3
50,1654,Ghana,Austria,"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,2020,21837456.8
51,1658,Ghana,Austria,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,982806.3
52,1660,Ghana,Austria,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,2020,21837456.8
53,1670,Ghana,Austria,"PS, bilateral (TDS, current US$)",DT.TDS.BLAT.PS.CD,2020,982806.3
54,1671,Ghana,Austria,"PS, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.PS.CD,2020,982806.3
55,1673,Ghana,Austria,"PS, commercial banks (TDS, current US$)",DT.TDS.PCBK.PS.CD,2020,21837456.8
56,1676,Ghana,Austria,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,982806.3
57,1678,Ghana,Austria,"PS, private creditors (TDS, current US$)",DT.TDS.PRVT.PS.CD,2020,21837456.8
58,2170,Ghana,Belgium,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,457099.4
59,2181,Ghana,Belgium,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,27023830.2
60,2182,Ghana,Belgium,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,27023830.2
61,2186,Ghana,Belgium,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,27023830.2
62,2187,Ghana,Belgium,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,27023830.2
63,2188,Ghana,Belgium,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,27023830.2
